[ 4811.644496] tgid, 2043, delta_vrun, 2134, delta_rrun, 19904, prio, 110
[ 4811.698665] tgid, 2043, delta_vrun, 47500, delta_rrun, 442901, prio, 110
[ 4811.774985] tgid, 1693, delta_vrun, 100588, delta_rrun, 100588, prio, 120
[ 4811.782807] tgid, 2250, delta_vrun, 25478, delta_rrun, 25478, prio, 120
[ 4811.782836] tgid, 2043, delta_vrun, 2206, delta_rrun, 20577, prio, 110
[ 4811.799263] tgid, 1842, delta_vrun, 37968, delta_rrun, 37968, prio, 120
[ 4811.947420] tgid, 2250, delta_vrun, 5042, delta_rrun, 5042, prio, 120
[ 4811.978853] tgid, 1637, delta_vrun, 18969, delta_rrun, 18969, prio, 120
[ 4812.025102] tgid, 2250, delta_vrun, 2972, delta_rrun, 2972, prio, 120
[ 4812.316640] tgid, 2043, delta_vrun, 322, delta_rrun, 3010, prio, 110
[ 4812.376555] tgid, 2250, delta_vrun, 27146, delta_rrun, 27146, prio, 120
[ 4812.663315] tgid, 2043, delta_vrun, 7675, delta_rrun, 71567, prio, 110
[ 4813.119909] tgid, 2250, delta_vrun, 20167, delta_rrun, 20167, prio, 120
[ 4813.520850] tgid, 1693, delta_vrun, 7883, delta_rrun, 7883, prio, 120
[ 4813.944020] tgid, 2250, delta_vrun, 7228, delta_rrun, 7228, prio, 120
[ 4814.385994] tgid, 2250, delta_vrun, 2825, delta_rrun, 2825, prio, 120
[ 4814.410593] tgid, 1693, delta_vrun, 60960, delta_rrun, 60960, prio, 120
[ 4814.507817] tgid, 1498, delta_vrun, 23659, delta_rrun, 23659, prio, 120
[ 4814.516521] tgid, 2250, delta_vrun, 6465, delta_rrun, 6465, prio, 120
[ 4814.555250] tgid, 1693, delta_vrun, 9406, delta_rrun, 9406, prio, 120
[ 4814.664658] tgid, 1693, delta_vrun, 3347, delta_rrun, 3347, prio, 120
[ 4814.817580] tgid, 2582, delta_vrun, 3790, delta_rrun, 3790, prio, 120
[ 4814.876028] tgid, 2043, delta_vrun, 6645, delta_rrun, 61961, prio, 110
[ 4814.909836] tgid, 2250, delta_vrun, 26848, delta_rrun, 26848, prio, 120
[ 4815.035395] tgid, 2043, delta_vrun, 408, delta_rrun, 3810, prio, 110
[ 4815.177593] tgid, 2043, delta_vrun, 3577, delta_rrun, 33361, prio, 110
[ 4815.280397] tgid, 2043, delta_vrun, 110, delta_rrun, 1028, prio, 110
[ 4815.339186] tgid, 1693, delta_vrun, 979796, delta_rrun, 979796, prio, 120
[ 4815.542169] tgid, 1719, delta_vrun, 47193, delta_rrun, 47193, prio, 94
[ 4815.842203] tgid, 2250, delta_vrun, 16724, delta_rrun, 16724, prio, 120
[ 4815.894373] tgid, 2250, delta_vrun, 71578, delta_rrun, 71578, prio, 120
[ 4816.221237] tgid, 2250, delta_vrun, 14012, delta_rrun, 14012, prio, 120
[ 4816.476092] tgid, 2250, delta_vrun, 21821, delta_rrun, 21821, prio, 120
[ 4816.526315] tgid, 2043, delta_vrun, 6575, delta_rrun, 61316, prio, 110
[ 4816.543648] tgid, 2043, delta_vrun, 36767, delta_rrun, 342827, prio, 110
[ 4816.674779] tgid, 2043, delta_vrun, 58645, delta_rrun, 58645, prio, 89
[ 4816.796891] tgid, 2043, delta_vrun, 1360, delta_rrun, 12687, prio, 110
[ 4816.947229] tgid, 2250, delta_vrun, 54990, delta_rrun, 54990, prio, 120
